powerConsumption_CustomConsumer@18/5_Bus0,powerConsumption_CustomConsumer@18/6_Bus0,powerConsumption_CustomConsumer@18/9_Bus0,powerConsumption_CustomConsumer@14/10_Bus0,powerConsumption_CustomConsumer@18/11_Bus0,powerConsumption_CustomConsumer@13/11_Bus0,powerConsumption_CustomConsumer@13/12_Bus0,powerConsumption_CustomConsumer@19/13_Bus0,powerConsumption_CustomConsumer@14/14_Bus0,powerConsumption_CustomConsumer@17/16_Bus0,,powerProduction_SolarPowerPlant@18/3_Bus0,powerProduction_SolarPowerPlant@20/6_Bus0,powerProduction_SolarPowerPlant@20/9_Bus0,powerProduction_SolarPowerPlant@14/8_Bus0,powerProduction_SolarPowerPlant@20/11_Bus0,powerProduction_SolarPowerPlant@11/11_Bus0,powerProduction_SolarPowerPlant@21/13_Bus0,powerProduction_SolarPowerPlant@14/16_Bus0,powerProduction_SolarPowerPlant@11/13_Bus0,powerProduction_SolarPowerPlant@19/16_Bus0
77469.91875,77469.91875,77469.91875,46481.95125,108457.8863,46481.95125,46481.95125,113622.5475,96407.01,130838.085,,273736.9536,273736.9536,273736.9536,164242.1722,383231.7351,164242.1722,401480.8653,340650.4312,164242.1722,462311.2994
65041.9875,65041.9875,65041.9875,39025.1925,91058.7825,39025.1925,39025.1925,95394.915,80941.14,109848.69,,223745.5431,223745.5431,223745.5431,134247.3258,313243.7603,134247.3258,328160.1298,278438.898,134247.3258,377881.3616
55208.08125,55208.08125,55208.08125,33124.84875,77291.31375,33124.84875,33124.84875,80971.8525,68703.39,93240.315,,164057.5372,164057.5372,164057.5372,98434.5223,229680.5521,98434.5223,240617.7212,204160.4907,98434.5223,277074.9517
43290.45,43290.45,43290.45,25974.27,60606.63,25974.27,25974.27,63492.66,53872.56,73112.76,,111189.0425,111189.0425,111189.0425,66713.4255,155664.6595,66713.4255,163077.2623,138368.5862,66713.4255,187785.9384
30384.1125,30384.1125,30384.1125,18230.4675,42537.7575,18230.4675,18230.4675,44563.365,37811.34,51315.39,,33361.8697,33361.8697,33361.8697,20017.1218,46706.6176,20017.1218,48930.7423,41516.9935,20017.1218,56344.4911
20688.4125,20688.4125,20688.4125,12413.0475,28963.7775,12413.0475,12413.0475,30343.005,25745.58,34940.43,,1.6866,1.6866,1.6866,1.0119,2.3612,1.0119,2.4736,2.0988,1.0119,2.8484
17265.15,17265.15,17265.15,10359.09,24171.21,10359.09,10359.09,25322.22,21485.52,29158.92,,1.00E-04,1.00E-04,1.00E-04,0,1.00E-04,0,1.00E-04,1.00E-04,0,1.00E-04
16574.11875,16574.11875,16574.11875,9944.47125,23203.76625,9944.47125,9944.47125,24308.7075,20625.57,27991.845,,0,0,0,0,0,0,0,0,0,0
16350.8625,16350.8625,16350.8625,9810.5175,22891.2075,9810.5175,9810.5175,23981.265,20347.74,27614.79,,0,0,0,0,0,0,0,0,0,0
17360.83125,17360.83125,17360.83125,10416.49875,24305.16375,10416.49875,10416.49875,25462.5525,21604.59,29320.515,,0,0,0,0,0,0,0,0,0,0
27035.26875,27035.26875,27035.26875,16221.16125,37849.37625,16221.16125,16221.16125,39651.7275,33643.89,45659.565,,0,0,0,0,0,0,0,0,0,0
48861.225,48861.225,48861.225,29316.735,68405.715,29316.735,29316.735,71663.13,60805.08,82521.18,,0,0,0,0,0,0,0,0,0,0
57164.23125,57164.23125,57164.23125,34298.53875,80029.92375,34298.53875,34298.53875,83840.8725,71137.71,96544.035,,0,0,0,0,0,0,0,0,0,0
54867.88125,54867.88125,54867.88125,32920.72875,76815.03375,32920.72875,32920.72875,80472.8925,68280.03,92665.755,,0,0,0,0,0,0,0,0,0,0
50392.125,50392.125,50392.125,30235.275,70548.975,30235.275,30235.275,73908.45,62710.2,85106.7,,0,0,0,0,0,0,0,0,0,0
49382.15625,49382.15625,49382.15625,29629.29375,69135.01875,29629.29375,29629.29375,72427.1625,61453.35,83400.975,,0,0,0,0,0,0,0,0,0,0
52645.95,52645.95,52645.95,31587.57,73704.33,31587.57,31587.57,77214.06,65514.96,88913.16,,0.372,0.372,0.372,0.2232,0.5208,0.2232,0.5456,0.4629,0.2232,0.6282
56738.98125,56738.98125,56738.98125,34043.38875,79434.57375,34043.38875,34043.38875,83217.1725,70608.51,95825.835,,18948.6219,18948.6219,18948.6219,11369.1732,26528.0707,11369.1732,27791.3122,23580.5073,11369.1732,32002.117
51986.8125,51986.8125,51986.8125,31192.0875,72781.5375,31192.0875,31192.0875,76247.325,64694.7,87799.95,,64149.8686,64149.8686,64149.8686,38489.9212,89809.816,38489.9212,94086.4739,79830.9476,38489.9212,108342.0003
46543.6125,46543.6125,46543.6125,27926.1675,65161.0575,27926.1675,27926.1675,68263.965,57920.94,78606.99,,23680.9718,23680.9718,23680.9718,14208.5831,33153.3605,14208.5831,34732.092,29469.6538,14208.5831,39994.5301
43726.33125,43726.33125,43726.33125,26235.79875,61216.86375,26235.79875,26235.79875,64131.9525,54414.99,73848.915,,45563.5433,45563.5433,45563.5433,27338.126,63788.9607,27338.126,66826.5302,56701.2984,27338.126,76951.7621
48393.45,48393.45,48393.45,29036.07,67750.83,29036.07,29036.07,70977.06,60222.96,81731.16,,0,0,0,0,0,0,0,0,0,0
62671.21875,62671.21875,62671.21875,37602.73125,87739.70625,37602.73125,37602.73125,91917.7875,77990.85,105844.725,,17317.7053,17317.7053,17317.7053,10390.6232,24244.7875,10390.6232,25399.3012,21550.9222,10390.6232,29247.6801
76863.9375,76863.9375,76863.9375,46118.3625,107609.5125,46118.3625,46118.3625,112733.775,95652.9,129814.65,,98067.966,98067.966,98067.966,58840.7796,137295.1523,58840.7796,143833.0167,122040.1354,58840.7796,165625.8981
77469.91875,77469.91875,77469.91875,46481.95125,108457.8863,46481.95125,46481.95125,113622.5475,96407.01,130838.085,,103565.9165,103565.9165,103565.9165,62139.5499,144992.2832,62139.5499,151896.6776,128882.0295,62139.5499,174911.3257
